COUNTRY,FOCUS_GROUP,PRODUCT_GENDER_CLUSTER,MAIN_CATEGORY_CLUSTER,GMV_BEFORE_RETURN
SE,,WOMEN,FTW,362
ES,Peer,KIDS,FTW,2567730
BE,Peer,KIDS,ACC,41349
DK,Brand,KIDS,FTW,234923
CH,,WOMEN,FTW,32453
IE,Peer,MEN AND UNISEX,FTW,187414
AT,Peer,KIDS,ACC,32236
FR,Peer,WOMEN,FTW,6784385
NL,,MEN AND UNISEX,ACC,2721
LT,Brand,MEN AND UNISEX,APP,11776
NO,Brand,KIDS,APP,107301
IE,,WOMEN,FTW,272
BE,,KIDS,APP,2068
ES,,MEN AND UNISEX,FTW,30414
BE,Brand,WOMEN,APP,277747
LV,,MEN AND UNISEX,APP,105
DK,Peer,MEN AND UNISEX,FTW,2261119
DK,Brand,WOMEN,APP,128644
LV,Peer,WOMEN,APP,29041
EE,,WOMEN,APP,135
NL,Brand,KIDS,APP,169077
SE,Brand,MEN AND UNISEX,ACC,23346
PL,Brand,KIDS,FTW,78878
AT,Peer,WOMEN,APP,1631466
DE,Brand,KIDS,APP,609160
SE,,KIDS,APP,732
IE,Peer,WOMEN,APP,48692
PL,,KIDS,FTW,2636
LT,Brand,KIDS,APP,808
AT,Peer,MEN AND UNISEX,APP,2122829
LT,Peer,MEN AND UNISEX,APP,207681
FR,,MEN AND UNISEX,FTW,43650
EE,Brand,WOMEN,FTW,737
SI,Peer,WOMEN,ACC,449
IT,Brand,WOMEN,ACC,1759
FI,Brand,KIDS,APP,100122
CZ,Peer,MEN AND UNISEX,ACC,181534
PL,,WOMEN,APP,20889
SK,Brand,KIDS,ACC,93
CZ,Brand,KIDS,APP,17420
SE,Brand,WOMEN,ACC,364
EE,,MEN AND UNISEX,APP,178
FR,Peer,KIDS,ACC,46606
IE,Brand,KIDS,APP,2965
RO,Peer,KIDS,APP,131592
HR,Brand,KIDS,FTW,23250
DE,Peer,MEN AND UNISEX,FTW,25661948
BE,Peer,MEN AND UNISEX,APP,3862918
GB,Peer,KIDS,FTW,333186
FR,,WOMEN,FTW,12816
EE,Brand,KIDS,FTW,163
HR,Peer,MEN AND UNISEX,APP,214635
CZ,Brand,MEN AND UNISEX,APP,84689
LT,,MEN AND UNISEX,ACC,40
RO,Peer,WOMEN,APP,141932
AT,Brand,MEN AND UNISEX,ACC,44008
ES,Brand,KIDS,FTW,262655
CH,Peer,MEN AND UNISEX,FTW,9463365
HU,Brand,KIDS,ACC,25
SI,Peer,MEN AND UNISEX,APP,125116
ES,Brand,KIDS,ACC,393
AT,Brand,MEN AND UNISEX,FTW,576353
DE,Peer,KIDS,ACC,249954
GB,Brand,WOMEN,FTW,23558
SE,Brand,KIDS,APP,95311
HU,Brand,KIDS,FTW,3054
HR,Peer,KIDS,APP,58228
BE,,WOMEN,FTW,9028
RO,Brand,KIDS,APP,5508
CZ,,MEN AND UNISEX,APP,1879
HU,Brand,WOMEN,FTW,5123
FI,,KIDS,FTW,175
GB,Peer,KIDS,ACC,3166
RO,Peer,MEN AND UNISEX,ACC,32583
LV,Peer,MEN AND UNISEX,FTW,65345
SI,Brand,WOMEN,APP,8198
AT,,WOMEN,APP,13433
NO,Peer,MEN AND UNISEX,APP,1533055
EE,Brand,KIDS,ACC,27
PL,Peer,WOMEN,ACC,51253
FI,Peer,KIDS,APP,239283
NL,,KIDS,FTW,6622
SI,Brand,KIDS,ACC,17
CZ,Peer,KIDS,FTW,168699
SE,Brand,WOMEN,FTW,77999
SK,Brand,KIDS,FTW,3855
FR,Peer,KIDS,FTW,4054597
DK,Peer,KIDS,ACC,24096
HU,Brand,MEN AND UNISEX,APP,9659
EE,Brand,MEN AND UNISEX,ACC,722
SK,Brand,WOMEN,FTW,8075
BE,Peer,WOMEN,APP,1816706
CH,Brand,WOMEN,FTW,685826
IT,Brand,WOMEN,FTW,565758
NO,Peer,WOMEN,APP,549638
SI,Brand,MEN AND UNISEX,APP,10376
DK,Peer,KIDS,FTW,527234
EE,Brand,MEN AND UNISEX,FTW,9942
LV,Brand,KIDS,APP,263
GB,Peer,MEN AND UNISEX,APP,396600
GB,Peer,WOMEN,APP,197380
CH,Brand,WOMEN,ACC,2788
IT,Peer,WOMEN,APP,3350108
HR,Brand,MEN AND UNISEX,APP,30161
AT,Brand,KIDS,APP,69567
PL,Peer,WOMEN,FTW,2395458
IE,,WOMEN,ACC,147
FI,,MEN AND UNISEX,APP,9179
IT,Peer,KIDS,APP,2082600
SI,Brand,KIDS,FTW,4250
CZ,Peer,KIDS,ACC,8521
SE,Brand,MEN AND UNISEX,FTW,588202
BE,Peer,KIDS,FTW,1670839
DK,Brand,KIDS,ACC,627
NL,,MEN AND UNISEX,FTW,17181
AT,Peer,KIDS,FTW,418243
IE,Peer,MEN AND UNISEX,ACC,13770
FR,Peer,WOMEN,ACC,20574
RO,Peer,MEN AND UNISEX,FTW,507705
AT,,KIDS,FTW,983
LV,Peer,MEN AND UNISEX,ACC,14395
DE,Peer,KIDS,FTW,5520065
GB,Brand,WOMEN,ACC,45
IE,Brand,MEN AND UNISEX,ACC,866
HR,Peer,WOMEN,ACC,849
ES,,WOMEN,APP,11682
BE,,WOMEN,ACC,2035
PL,Brand,MEN AND UNISEX,ACC,41412
BE,Brand,MEN AND UNISEX,APP,324559
IT,Peer,MEN AND UNISEX,FTW,10355822
SE,,WOMEN,ACC,870
CH,Peer,MEN AND UNISEX,ACC,1132921
DE,,WOMEN,APP,165788
ES,Peer,MEN AND UNISEX,ACC,436955
DK,Peer,WOMEN,ACC,4330
FR,Brand,KIDS,ACC,649
CH,Peer,KIDS,APP,1582269
LV,Brand,WOMEN,APP,2258
GB,Brand,MEN AND UNISEX,APP,42307
HU,Peer,KIDS,APP,57042
DE,Peer,MEN AND UNISEX,ACC,3068262
HR,Brand,KIDS,ACC,30
GB,,KIDS,APP,853
GB,,MEN AND UNISEX,FTW,1389
DK,,KIDS,FTW,2804
DK,,WOMEN,APP,10581
DE,Brand,MEN AND UNISEX,APP,3034785
SE,Peer,MEN AND UNISEX,ACC,184259
NL,Brand,MEN AND UNISEX,APP,350520
RO,Brand,MEN AND UNISEX,APP,18005
FR,,WOMEN,ACC,3271
CH,Brand,KIDS,APP,243896
LT,Brand,WOMEN,FTW,2423
IT,,MEN AND UNISEX,ACC,4391
NO,Brand,WOMEN,ACC,234
NL,Peer,MEN AND UNISEX,APP,2722939
ES,Brand,WOMEN,APP,273738
SK,Peer,KIDS,FTW,118861
IT,,KIDS,FTW,18427
FR,Peer,MEN AND UNISEX,APP,6975203
FI,Peer,MEN AND UNISEX,FTW,1009051
DE,Peer,,APP,185
ES,Brand,MEN AND UNISEX,APP,426601
IT,Brand,KIDS,APP,237779
GB,Brand,KIDS,APP,16700
CZ,Peer,MEN AND UNISEX,FTW,1026866
FI,Brand,MEN AND UNISEX,APP,170251
PL,Peer,KIDS,FTW,1509908
ES,,KIDS,ACC,168
SI,Peer,KIDS,APP,31202
HU,,MEN AND UNISEX,APP,426
FR,,MEN AND UNISEX,ACC,5689
FR,Brand,MEN AND UNISEX,FTW,2713795
NO,Peer,KIDS,FTW,423518
SI,Peer,WOMEN,FTW,154698
LV,Brand,MEN AND UNISEX,FTW,14984
GB,,WOMEN,FTW,849
CH,Peer,WOMEN,APP,4848227
PL,Brand,KIDS,ACC,570
LT,Peer,KIDS,APP,25798
SK,Peer,WOMEN,FTW,219205
IT,,WOMEN,ACC,9501
ES,,MEN AND UNISEX,ACC,4978
LV,Peer,KIDS,FTW,9486
CH,,MEN AND UNISEX,FTW,45542
NL,Brand,WOMEN,ACC,465
SK,Peer,MEN AND UNISEX,ACC,57455
BE,Brand,KIDS,APP,118721
NL,,KIDS,ACC,27
NL,,WOMEN,APP,22634
CH,Brand,MEN AND UNISEX,FTW,3080906
DK,Peer,MEN AND UNISEX,ACC,324100
SE,,MEN AND UNISEX,ACC,2509
DE,,MEN AND UNISEX,APP,248210
ES,Peer,WOMEN,ACC,105667
SE,Peer,KIDS,ACC,22502
IE,Brand,WOMEN,FTW,5785
ES,Peer,KIDS,ACC,43561
SK,Brand,MEN AND UNISEX,ACC,5224
SE,Peer,WOMEN,APP,533195
NO,,MEN AND UNISEX,ACC,2614
HU,Peer,WOMEN,FTW,130644
CH,,WOMEN,ACC,6081
FR,Brand,WOMEN,FTW,883520
CH,,KIDS,FTW,11193
NO,,KIDS,ACC,129
FI,,WOMEN,ACC,1803
AT,,MEN AND UNISEX,ACC,2109
NO,,WOMEN,APP,9135
PL,,MEN AND UNISEX,APP,35506
HR,,MEN AND UNISEX,APP,410
HU,Peer,MEN AND UNISEX,FTW,307863
EE,Peer,WOMEN,ACC,165
EE,Peer,KIDS,ACC,534
BE,,MEN AND UNISEX,ACC,2766
